target,feature,pearson_corr,abs_corr,feature_type,source,null_rate
target_10_1,cat_feature_48,0.19969025254249573,0.19969025254249573,cat,main,0.0
target_10_1,cat_feature_46,0.1744278073310852,0.1744278073310852,cat,main,0.0
target_10_1,cat_feature_52,0.1720268428325653,0.1720268428325653,cat,main,0.0
target_10_1,cat_feature_21,0.16918621957302094,0.16918621957302094,cat,main,0.0
target_10_1,num_feature_36,-0.16272076964378357,0.16272076964378357,num,main,0.16243733333333332
target_10_1,cat_feature_65,0.15971606969833374,0.15971606969833374,cat,main,0.0
target_10_1,cat_feature_44,0.15796296298503876,0.15796296298503876,cat,main,0.0
target_10_1,cat_feature_13,0.15774577856063843,0.15774577856063843,cat,main,0.0
target_10_1,cat_feature_26,0.15774577856063843,0.15774577856063843,cat,main,0.0
target_10_1,cat_feature_56,0.15561802685260773,0.15561802685260773,cat,main,0.0
target_1_1,num_feature_67,0.08839363604784012,0.08839363604784012,num,main,0.2624533333333333
target_1_1,num_feature_1928,0.0627397820353508,0.0627397820353508,num,extra,0.20577333333333334
target_1_1,num_feature_2114,0.05299137160181999,0.05299137160181999,num,extra,0.2624533333333333
target_1_1,num_feature_109,0.05207536742091179,0.05207536742091179,num,main,0.336056
target_1_1,num_feature_81,0.051992710679769516,0.051992710679769516,num,main,0.9952826666666666
target_1_1,num_feature_95,0.04333365708589554,0.04333365708589554,num,main,0.336056
target_1_1,cat_feature_40,0.041783563792705536,0.041783563792705536,cat,main,0.0
target_1_1,cat_feature_37,-0.037979915738105774,0.037979915738105774,cat,main,0.0
target_1_1,num_feature_41,-0.037847865372896194,0.037847865372896194,num,main,0.064324
target_1_1,cat_feature_53,-0.03726508095860481,0.03726508095860481,cat,main,0.0
target_1_2,num_feature_1226,0.047974325716495514,0.047974325716495514,num,extra,0.2624533333333333
target_1_2,num_feature_2309,0.04233405739068985,0.04233405739068985,num,extra,0.2624533333333333
target_1_2,num_feature_132,0.03325353190302849,0.03325353190302849,num,main,0.567732
target_1_2,num_feature_602,0.030495215207338333,0.030495215207338333,num,extra,0.2624533333333333
target_1_2,cat_feature_19,-0.03033430315554142,0.03033430315554142,cat,main,0.0
target_1_2,cat_feature_37,-0.029625767841935158,0.029625767841935158,cat,main,0.0
target_1_2,cat_feature_47,-0.029362834990024567,0.029362834990024567,cat,main,0.0
target_1_2,cat_feature_30,-0.029332825914025307,0.029332825914025307,cat,main,0.0
target_1_2,cat_feature_60,-0.029277553781867027,0.029277553781867027,cat,main,0.0
target_1_2,cat_feature_17,-0.029257746413350105,0.029257746413350105,cat,main,0.0
target_1_3,num_feature_132,0.1622810959815979,0.1622810959815979,num,main,0.567732
target_1_3,cat_feature_17,-0.12866316735744476,0.12866316735744476,cat,main,0.0
target_1_3,cat_feature_14,-0.12863218784332275,0.12863218784332275,cat,main,0.0
target_1_3,cat_feature_29,-0.12863218784332275,0.12863218784332275,cat,main,0.0
target_1_3,cat_feature_50,-0.12863218784332275,0.12863218784332275,cat,main,0.0
target_1_3,cat_feature_59,-0.12863218784332275,0.12863218784332275,cat,main,0.0
target_1_3,num_feature_115,-0.1286270171403885,0.1286270171403885,num,main,0.6362346666666666
target_1_3,cat_feature_67,-0.12862619757652283,0.12862619757652283,cat,main,0.0
target_1_3,cat_feature_54,-0.12862153351306915,0.12862153351306915,cat,main,0.0
target_1_3,cat_feature_38,-0.12860499322414398,0.12860499322414398,cat,main,0.0
target_1_4,cat_feature_60,-0.09582174569368362,0.09582174569368362,cat,main,0.0
target_1_4,cat_feature_42,-0.09578414261341095,0.09578414261341095,cat,main,0.0
target_1_4,cat_feature_3,-0.09575484693050385,0.09575484693050385,cat,main,0.0
target_1_4,cat_feature_17,-0.09574584662914276,0.09574584662914276,cat,main,0.0
target_1_4,cat_feature_18,-0.09570494294166565,0.09570494294166565,cat,main,0.0
target_1_4,cat_feature_43,-0.09568778425455093,0.09568778425455093,cat,main,0.0
target_1_4,cat_feature_38,-0.09566031396389008,0.09566031396389008,cat,main,0.0
target_1_4,cat_feature_64,-0.09565979987382889,0.09565979987382889,cat,main,0.0
target_1_4,cat_feature_5,-0.09565979242324829,0.09565979242324829,cat,main,0.0
target_1_4,cat_feature_31,-0.09563913941383362,0.09563913941383362,cat,main,0.0
target_1_5,num_feature_290,0.05250009149312973,0.05250009149312973,num,extra,0.16210533333333332
target_1_5,cat_feature_47,-0.031079502776265144,0.031079502776265144,cat,main,0.0
target_1_5,cat_feature_3,-0.03099031373858452,0.03099031373858452,cat,main,0.0
target_1_5,cat_feature_43,-0.03093130514025688,0.03093130514025688,cat,main,0.0
target_1_5,cat_feature_62,-0.030929967761039734,0.030929967761039734,cat,main,0.0
target_1_5,cat_feature_30,-0.030856607481837273,0.030856607481837273,cat,main,0.0
target_1_5,cat_feature_23,-0.030839888378977776,0.030839888378977776,cat,main,0.0
target_1_5,cat_feature_42,-0.03083735518157482,0.03083735518157482,cat,main,0.0
target_1_5,cat_feature_18,-0.030831169337034225,0.030831169337034225,cat,main,0.0
target_1_5,cat_feature_67,-0.030830176547169685,0.030830176547169685,cat,main,0.0
target_2_1,num_feature_36,0.0526508167386055,0.0526508167386055,num,main,0.16243733333333332
target_2_1,num_feature_540,0.051367249339818954,0.051367249339818954,num,extra,0.16210533333333332
target_2_1,num_feature_446,0.04386802762746811,0.04386802762746811,num,extra,0.16243733333333332
target_2_1,num_feature_854,0.04283846542239189,0.04283846542239189,num,extra,0.16243733333333332
target_2_1,num_feature_655,0.04045497626066208,0.04045497626066208,num,extra,0.21333733333333332
target_2_1,cat_feature_19,-0.039038628339767456,0.039038628339767456,cat,main,0.0
target_2_1,cat_feature_55,-0.0390162393450737,0.0390162393450737,cat,main,0.0
target_2_1,num_feature_94,0.03890732303261757,0.03890732303261757,num,main,0.2994
target_2_1,num_feature_1267,0.03847196698188782,0.03847196698188782,num,extra,0.16210533333333332
target_2_1,cat_feature_7,-0.037900350987911224,0.037900350987911224,cat,main,0.0
target_2_2,num_feature_2370,0.18368865549564362,0.18368865549564362,num,extra,0.004286666666666667
target_2_2,cat_feature_10,-0.16900256276130676,0.16900256276130676,cat,main,0.0
target_2_2,cat_feature_61,-0.1600968837738037,0.1600968837738037,cat,main,0.0
target_2_2,num_feature_115,-0.153702050447464,0.153702050447464,num,main,0.6362346666666666
target_2_2,cat_feature_17,-0.1536744087934494,0.1536744087934494,cat,main,0.0
target_2_2,cat_feature_67,-0.15361231565475464,0.15361231565475464,cat,main,0.0
target_2_2,cat_feature_18,-0.15360645949840546,0.15360645949840546,cat,main,0.0
target_2_2,cat_feature_14,-0.15358296036720276,0.15358296036720276,cat,main,0.0
target_2_2,cat_feature_29,-0.15358296036720276,0.15358296036720276,cat,main,0.0
target_2_2,cat_feature_50,-0.15358296036720276,0.15358296036720276,cat,main,0.0
target_2_3,num_feature_1233,0.07355216145515442,0.07355216145515442,num,extra,0.16210533333333332
target_2_3,num_feature_1921,0.057341255247592926,0.057341255247592926,num,extra,2e-05
target_2_3,num_feature_183,0.0529043935239315,0.0529043935239315,num,extra,0.16210533333333332
target_2_3,num_feature_56,0.048757754266262054,0.048757754266262054,num,main,0.5959173333333333
target_2_3,num_feature_1057,0.038536712527275085,0.038536712527275085,num,extra,0.214536
target_2_3,num_feature_2345,0.03559611737728119,0.03559611737728119,num,extra,0.21333733333333332
target_2_3,num_feature_36,0.033141229301691055,0.033141229301691055,num,main,0.16243733333333332
target_2_3,num_feature_223,0.03138633072376251,0.03138633072376251,num,extra,0.16210533333333332
target_2_3,num_feature_1245,0.03128878399729729,0.03128878399729729,num,extra,0.21333733333333332
target_2_3,num_feature_2220,0.030705174431204796,0.030705174431204796,num,extra,0.16243733333333332
target_2_4,num_feature_99,0.03791795298457146,0.03791795298457146,num,main,0.5959173333333333
target_2_4,num_feature_96,0.025968726724386215,0.025968726724386215,num,main,0.29704933333333333
target_2_4,cat_feature_1,-0.025364020839333534,0.025364020839333534,cat,main,0.0
target_2_4,num_feature_17,0.023390797898173332,0.023390797898173332,num,main,0.29704933333333333
target_2_4,num_feature_6,0.01693783700466156,0.01693783700466156,num,main,0.29704933333333333
target_2_4,cat_feature_45,0.016438327729701996,0.016438327729701996,cat,main,0.0
target_2_4,num_feature_1928,0.015396609902381897,0.015396609902381897,num,extra,0.20577333333333334
target_2_4,num_feature_35,-0.01515806745737791,0.01515806745737791,num,main,0.31249866666666665
target_2_4,num_feature_68,0.014760719612240791,0.014760719612240791,num,main,0.29704933333333333
target_2_4,cat_feature_4,-0.014650181867182255,0.014650181867182255,cat,main,0.0
target_2_5,num_feature_64,0.025865862146019936,0.025865862146019936,num,main,0.998348
target_2_5,num_feature_131,0.01936289668083191,0.01936289668083191,num,main,0.567732
target_2_5,num_feature_341,0.01719040423631668,0.01719040423631668,num,extra,0.214536
target_2_5,num_feature_2108,0.017012841999530792,0.017012841999530792,num,extra,0.16210533333333332
target_2_5,num_feature_1081,0.014870328828692436,0.014870328828692436,num,extra,0.2624533333333333
target_2_5,num_feature_96,0.013220085762441158,0.013220085762441158,num,main,0.29704933333333333
target_2_5,cat_feature_40,0.012601187452673912,0.012601187452673912,cat,main,0.0
target_2_5,num_feature_642,0.010724799707531929,0.010724799707531929,num,extra,0.214536
target_2_5,num_feature_15,0.010554845444858074,0.010554845444858074,num,main,0.2624533333333333
target_2_5,num_feature_1454,0.009938464500010014,0.009938464500010014,num,extra,0.2624533333333333
target_2_6,num_feature_139,0.03235849365592003,0.03235849365592003,num,extra,0.158332
target_2_6,num_feature_1872,0.03235849365592003,0.03235849365592003,num,extra,0.158332
target_2_6,num_feature_560,0.02608371526002884,0.02608371526002884,num,extra,0.158332
target_2_6,num_feature_96,0.0248114001005888,0.0248114001005888,num,main,0.29704933333333333
target_2_6,num_feature_15,0.022804580628871918,0.022804580628871918,num,main,0.2624533333333333
target_2_6,cat_feature_56,-0.017301909625530243,0.017301909625530243,cat,main,0.0
target_2_6,num_feature_131,0.016711460426449776,0.016711460426449776,num,main,0.567732
target_2_6,num_feature_104,0.01593824103474617,0.01593824103474617,num,main,0.2624533333333333
target_2_6,num_feature_1005,0.014852911233901978,0.014852911233901978,num,extra,0.214536
target_2_6,num_feature_439,0.014222866855561733,0.014222866855561733,num,extra,0.16210533333333332
target_2_7,num_feature_355,0.0684686005115509,0.0684686005115509,num,extra,0.16210533333333332
