target_a,target_b,corr,co_count,co_rate,expected_independent_rate,pair_lift
target_6_4,target_6_5,0.26571831753244196,419,0.0005586666666666666,4.388140444444443e-06,127.31285011033782
target_5_1,target_5_2,0.5179384809834178,1906,0.0025413333333333334,2.390818133333333e-05,106.29555204979764
target_6_1,target_6_4,0.5140278718487017,3236,0.004314666666666666,6.936194311111111e-05,62.20510085415266
target_2_5,target_2_6,0.15587639120451538,343,0.00045733333333333335,8.349164444444445e-06,54.775940320308834
target_1_3,target_2_7,0.07475079720074555,154,0.00020533333333333333,7.1990275555555555e-06,28.522370799216585
target_6_1,target_6_2,0.1902336804278609,1192,0.0015893333333333334,6.524096533333334e-05,24.360972055103865
target_5_2,target_7_3,0.04175168025995137,111,0.000148,1.086239288888889e-05,13.624990507514118
target_2_4,target_2_5,0.0439521964923278,135,0.00018,1.4341363555555556e-05,12.55110780106203
target_2_4,target_2_6,0.06688536903419502,313,0.00041733333333333336,3.335552888888888e-05,12.511668896737296
target_6_3,target_6_4,0.07431528019811755,408,0.000544,4.559895822222222e-05,11.930097116448744
target_6_3,target_7_3,0.05007700140547607,204,0.000272,2.4645575111111114e-05,11.03646389965445
target_2_4,target_9_3,0.11998563159861278,1162,0.0015493333333333333,0.00014138505422222223,10.958253981344914
target_2_4,target_7_3,0.05273954190095536,247,0.00032933333333333333,3.213434311111111e-05,10.2486405959691
target_1_4,target_2_2,0.21864762669416848,4344,0.005792,0.0005938242631111111,9.753727423758455
target_4_1,target_5_2,0.03920923960823744,149,0.00019866666666666668,2.0800254222222223e-05,9.551165314817093
target_2_4,target_5_2,0.036990843623821046,136,0.00018133333333333334,1.9367400888888887e-05,9.362811993909032
target_5_2,target_6_3,0.03191268101706707,103,0.00013733333333333333,1.4853912888888889e-05,9.245599752780443
target_3_5,target_8_1,0.10084941699928017,972,0.001296,0.00014527099733333335,8.92125767558577
target_3_4,target_5_1,0.033695932656248574,121,0.00016133333333333334,1.8239488e-05,8.845277528258103
target_6_5,target_8_1,0.06084595999329347,370,0.0004933333333333334,5.726109866666667e-05,8.615505898780752
target_6_2,target_7_3,0.042021610250521146,199,0.00026533333333333335,3.136452266666667e-05,8.459664320519762
target_6_1,target_6_3,0.05206693316190459,316,0.00042133333333333335,5.126496355555556e-05,8.218738571358521
target_6_2,target_6_4,0.05405455639021646,350,0.00046666666666666666,5.8030277333333326e-05,8.041779017978387
target_6_2,target_6_3,0.04566832242980039,255,0.00034,4.288980266666666e-05,7.927292243390132
target_2_4,target_6_3,0.045164725479091526,256,0.00034133333333333335,4.394250311111111e-05,7.767726214190682
target_6_3,target_7_1,0.12854106991749314,2045,0.0027266666666666667,0.00036283333333333333,7.514928801102434
target_2_7,target_8_1,0.03809430340165139,174,0.000232,3.102212266666667e-05,7.4785340285332715
target_6_4,target_8_1,0.1885465780328421,4390,0.005853333333333334,0.0008050719146666666,7.270572015615348
target_1_3,target_2_5,0.037868567613622124,222,0.000296,4.506527822222222e-05,6.568249696371316
target_7_3,target_9_3,0.047793056771928896,375,0.0005,7.929716622222222e-05,6.305395562292869
