target_a,target_b,corr,co_count,co_rate,expected_independent_rate,pair_lift
target_5_1,target_5_2,0.5179384809834178,1906,0.0025413333333333334,2.390818133333333e-05,106.29555204979764
target_6_1,target_6_4,0.5140278718487017,3236,0.004314666666666666,6.936194311111111e-05,62.20510085415266
target_6_4,target_6_5,0.26571831753244196,419,0.0005586666666666666,4.388140444444443e-06,127.31285011033782
target_1_4,target_2_2,0.21864762669416848,4344,0.005792,0.0005938242631111111,9.753727423758455
target_6_1,target_6_2,0.1902336804278609,1192,0.0015893333333333334,6.524096533333334e-05,24.360972055103865
target_6_4,target_8_1,0.1885465780328421,4390,0.005853333333333334,0.0008050719146666666,7.270572015615348
target_2_5,target_2_6,0.15587639120451538,343,0.00045733333333333335,8.349164444444445e-06,54.775940320308834
target_3_2,target_5_1,0.1301804582328898,3468,0.004624,0.0009101928106666667,5.080242280328682
target_6_3,target_7_1,0.12854106991749314,2045,0.0027266666666666667,0.00036283333333333333,7.514928801102434
target_2_4,target_9_3,0.11998563159861278,1162,0.0015493333333333333,0.00014138505422222223,10.958253981344914
target_3_5,target_8_1,0.10084941699928017,972,0.001296,0.00014527099733333335,8.92125767558577
target_6_1,target_8_1,0.09544264480624928,2710,0.0036133333333333334,0.0009051080106666667,3.9921570583293096
target_3_2,target_8_1,0.09325423234646303,13778,0.018370666666666667,0.009984067029333334,1.8399983306094982
target_6_2,target_7_1,0.0919604326461323,1776,0.002368,0.00046175,5.128316188413644
target_3_2,target_4_1,0.07847538397198599,2161,0.0028813333333333334,0.0007918729404444445,3.6386308789844035
target_1_3,target_2_7,0.07475079720074555,154,0.00020533333333333333,7.1990275555555555e-06,28.522370799216585
target_6_3,target_6_4,0.07431528019811755,408,0.000544,4.559895822222222e-05,11.930097116448744
target_2_4,target_2_6,0.06688536903419502,313,0.00041733333333333336,3.335552888888888e-05,12.511668896737296
target_1_3,target_1_4,0.06560087020344976,1552,0.002069333333333333,0.0005572745031111111,3.7133106248012626
target_1_3,target_2_4,0.0609745202317715,739,0.0009853333333333333,0.00018003911644444442,5.472884741896534
target_6_5,target_8_1,0.06084595999329347,370,0.0004933333333333334,5.726109866666667e-05,8.615505898780752
target_4_1,target_7_1,0.05882316700174297,1340,0.0017866666666666667,0.0005080833333333334,3.5164835164835164
target_7_1,target_7_3,0.055406250985593195,853,0.0011373333333333333,0.00026533333333333335,4.2864321608040195
target_6_2,target_6_4,0.05405455639021646,350,0.00046666666666666666,5.8030277333333326e-05,8.041779017978387
target_2_4,target_3_1,0.05292177349142634,1583,0.0021106666666666665,0.000744620551111111,2.834553335275481
target_2_4,target_7_3,0.05273954190095536,247,0.00032933333333333333,3.213434311111111e-05,10.2486405959691
target_7_1,target_7_2,0.052582775936419926,2863,0.003817333333333333,0.0017295,2.207188975619158
target_6_1,target_6_3,0.05206693316190459,316,0.00042133333333333335,5.126496355555556e-05,8.218738571358521
target_3_1,target_3_2,0.05046212356548971,10529,0.014038666666666666,0.009582480817777777,1.4650346745929934
target_9_1,target_9_7,0.05040823621128586,818,0.0010906666666666667,0.00028077073066666667,3.8845454584135948
